,,,0,knowledge,common sense,specialised knowledge,understanding one's role,spatial awareness,group dynamics,empathy,humanity,adult power,insight,information integration,quick response,timing,sense of rhythm,sense of distance
,,,0,知識,常識力,専門知識,役割理解,空間認識,集団力,共感,人情力,大人力,洞察,情報統合力,瞬発力,タイミング,リズム感,間合い
Tokino Sora,https://www.youtube.com/watch?v=mkegJqAGNAc,766395_704791.png,475,89,48,41,97,57,40,104,57,47,94,49,45,91,37,54
Roboco,,05dfrxBd_400x400_opgdih.jpg,0,,,,,,,,,,,,,,,
Sakura Miko,https://www.youtube.com/watch?v=AQSsReTe1zg,942505_354389.png,303,64,22,42,49,26,23,60,25,35,70,37,33,60,28,32
Hoshimachi Suisei,https://www.youtube.com/watch?v=HLXxLJqk4_0,718827_142512.png,532,117,64,53,120,59,61,102,50,52,101,54,47,92,45,47
AZKi,,,0,,,,,,,,,,,,,,,
Yozora Mel,,,0,,,,,,,,,,,,,,,
Shirakami Fubuki,https://www.youtube.com/watch?v=S2U4f2osuLc,265098_911553.png,515,108,47,61,105,58,47,97,44,53,108,49,59,97,53,44
Natsuiro Matsuri,https://www.youtube.com/watch?v=iIf__bnqYz8,878672_482782.png,323,58,,,54,,,51,,,82,,,78,,
Aki Rosenthal,,,0,,,,,,,,,,,,,,,
Akai Haato,,,0,,,,,,,,,,,,,,,
Minato Aqua,https://www.youtube.com/watch?v=eIi8zCPFyng,309110_49678.png,389,80,36,44,68,41,27,78,34,44,99,42,57,64,40,24
Murasaki Shion,https://www.youtube.com/watch?v=2pVEfkQvays,39481_966765.png,426,89,,,100,,,60,,,98,,,79,,
Nakiri Ayame,https://www.youtube.com/watch?v=B1ErENTsf2s,808112_469591.png,286,50,25,25,55,29,26,64,26,38,65,39,26,52,28,24
Yuzuki Choco,,,0,,,,,,,,,,,,,,,
Oozora Subaru,https://www.youtube.com/watch?v=BBRoezXqI3k,148699_403604.png,476,90,39,51,93,49,44,91,52,39,102,50,52,100,57,43
Ookami Mio,https://www.youtube.com/watch?v=B_i5piad0mY,786008_938019.png,591,110,,,126,,,125,,,117,,,113,,
Nekomata Okayu,https://www.youtube.com/watch?v=jrKG9OhyRrE,903177_377790.png,511,111,52,59,106,57,49,91,52,39,110,45,65,93,47,46
Inugami Korone,https://www.youtube.com/watch?v=3Oifsqw8Rj8,305905_549251.png,255,47,,,42,,,52,,,54,,,60,,
Usada Pekora,https://www.youtube.com/watch?v=U10z6dL0m_Q,231089_544274.png,383,97,41,56,71,40,31,65,27,38,83,34,49,67,42,25
